nombre_empleado;edad;departamento;salud;dinero;familia;amor
Pedro Arango;34;Sistemas;18%;15%;14%;10%
Sebastián Rodríguez;26;Compras;15%;14%;20%;12%
Pedro Ramírez;34;Logística;18%;23%;11%;17%
Andrea López;26;Producción;18%;1%;9%;10%
Sebastián Ramírez;56;Ventas;19%;9%;16%;7%
Valentina Martínez;51;Compras;24%;13%;23%;22%
Sebastián López;30;Marketing;8%;17%;15%;1%
Andrea Fernández;60;Compras;4%;2%;16%;16%
Luis Martínez;61;Ventas;1%;11%;3%;23%
Carlos Rodríguez;38;Recursos Humanos;9%;10%;21%;18%
Andrea Sánchez;24;Recursos Humanos;17%;17%;15%;4%
Pedro Pérez;64;Producción;19%;10%;16%;23%
Valentina Ramírez;43;Ventas;16%;25%;17%;18%
Carlos Torres;35;Compras;16%;11%;1%;17%
Carlos Rodríguez;22;Compras;7%;18%;17%;25%
Luis Ramírez;19;Compras;10%;17%;10%;22%
Andrea López;19;Compras;16%;2%;20%;5%
Juan Ramírez;60;Recursos Humanos;16%;11%;17%;24%
Pedro Rodríguez;32;Ventas;16%;7%;7%;9%
Luis Torres;31;Recursos Humanos;15%;15%;3%;19%
Valentina Pérez;45;Logística;15%;2%;8%;2%
Sebastián Fernández;18;Sistemas;15%;11%;18%;19%
Sebastián Gómez;62;Producción;8%;22%;4%;20%
Andrea Rodríguez;21;Finanzas;24%;23%;13%;6%
Camila López;52;Logística;8%;10%;20%;19%
Andrea Pérez;39;Ventas;22%;10%;4%;15%
Carlos Ramírez;49;Compras;7%;9%;21%;7%
Andrea Ramírez;27;Finanzas;6%;6%;25%;4%
Sebastián Gómez;60;Marketing;12%;20%;13%;4%
Laura Gómez;50;Finanzas;9%;4%;3%;7%
Laura Ramírez;22;Ventas;20%;17%;21%;13%
Luis Rodríguez;57;Compras;13%;10%;22%;13%
Camila Rodríguez;47;Marketing;3%;24%;20%;25%
Mariana Rodríguez;44;Sistemas;13%;18%;19%;14%
Andrea Arango;23;Ventas;12%;18%;13%;4%
Laura Sánchez;45;Logística;21%;15%;6%;13%
Luis Pérez;27;Marketing;17%;13%;7%;21%
Juan Arango;28;Finanzas;24%;3%;25%;20%
Mariana Gómez;22;Ventas;24%;12%;23%;4%
Andrea Fernández;53;Ventas;13%;18%;7%;12%
Sebastián Sánchez;26;Logística;20%;12%;20%;4%
Laura Pérez;50;Marketing;11%;3%;3%;25%
Luis Torres;55;Logística;12%;14%;2%;5%
Luis Arango;56;Logística;12%;9%;21%;11%
Pedro Gómez;65;Logística;23%;20%;7%;18%
Pedro Martínez;32;Compras;20%;5%;6%;23%
Mariana Arango;23;Recursos Humanos;11%;13%;16%;3%
Pedro Fernández;28;Ventas;8%;7%;20%;13%
Juan Martínez;29;Compras;25%;8%;21%;18%
Valentina Gómez;27;Recursos Humanos;6%;6%;2%;1%
Valentina Sánchez;37;Producción;20%;20%;12%;13%
Juan López;28;Ventas;10%;23%;23%;22%
Mariana Martínez;49;Finanzas;19%;9%;5%;22%
Sebastián Martínez;26;Producción;19%;6%;18%;23%
Andrea Arango;53;Logística;12%;5%;4%;16%
Sebastián Arango;43;Finanzas;14%;3%;17%;17%
Sebastián Rodríguez;24;Marketing;11%;4%;15%;14%
Laura Ramírez;34;Recursos Humanos;22%;10%;5%;7%
Camila Pérez;58;Compras;22%;2%;17%;23%
Andrea Torres;22;Producción;15%;16%;16%;14%
Juan Martínez;40;Logística;17%;6%;1%;22%
Andrea Torres;61;Logística;14%;1%;15%;7%
Mariana Sánchez;29;Producción;10%;13%;23%;8%
Luis Torres;20;Ventas;1%;4%;5%;5%
Sebastián Torres;28;Recursos Humanos;9%;6%;15%;9%
Juan Rodríguez;33;Sistemas;19%;9%;4%;12%
Carlos Arango;60;Logística;6%;25%;25%;13%
Valentina López;32;Producción;7%;12%;10%;4%
Mariana Pérez;44;Ventas;6%;18%;22%;17%
Pedro Gómez;32;Producción;7%;4%;17%;4%
Pedro Gómez;53;Finanzas;2%;23%;4%;1%
Mariana Torres;52;Compras;17%;24%;24%;3%
Luis Torres;64;Ventas;19%;2%;18%;7%
Mariana López;58;Recursos Humanos;25%;24%;6%;23%
Andrea López;43;Producción;15%;2%;23%;23%
Mariana Martínez;36;Ventas;18%;11%;7%;14%
Andrea Rodríguez;43;Finanzas;23%;21%;8%;2%
Luis Sánchez;44;Producción;19%;23%;2%;18%
Valentina Pérez;46;Producción;7%;22%;10%;9%
Sebastián Fernández;46;Finanzas;2%;6%;17%;24%
Sebastián Torres;63;Sistemas;23%;16%;21%;13%
Sebastián Gómez;18;Finanzas;4%;19%;10%;5%
Mariana Rodríguez;54;Recursos Humanos;23%;18%;16%;3%
Mariana Sánchez;23;Compras;6%;21%;12%;10%
Luis Pérez;64;Logística;17%;6%;11%;23%
Andrea Sánchez;30;Ventas;10%;16%;13%;3%
Mariana Martínez;21;Compras;9%;23%;18%;14%
Juan Gómez;63;Sistemas;3%;7%;2%;1%
Juan Sánchez;54;Recursos Humanos;2%;8%;19%;9%
Pedro López;26;Compras;9%;16%;20%;21%
Luis Fernández;65;Marketing;7%;21%;11%;10%
Carlos Gómez;62;Recursos Humanos;22%;11%;10%;24%
Luis Fernández;54;Sistemas;10%;14%;8%;16%
Pedro Rodríguez;24;Sistemas;11%;16%;21%;4%
Pedro Torres;49;Ventas;1%;2%;14%;24%
Carlos Martínez;22;Ventas;14%;11%;5%;2%
Valentina Gómez;48;Logística;10%;19%;13%;20%
Carlos Torres;53;Compras;4%;13%;16%;3%
Valentina Fernández;39;Compras;3%;22%;13%;25%
Andrea Ramírez;19;Logística;10%;6%;23%;12%
Sebastián Rodríguez;20;Finanzas;14%;2%;22%;7%
Laura Ramírez;35;Producción;11%;8%;21%;9%
Juan López;21;Finanzas;5%;22%;4%;3%
Carlos López;57;Recursos Humanos;21%;2%;19%;10%
Pedro Fernández;52;Recursos Humanos;8%;1%;24%;11%
Sebastián Fernández;27;Recursos Humanos;13%;24%;3%;14%
Mariana Pérez;18;Recursos Humanos;19%;24%;14%;22%
Valentina Torres;22;Compras;15%;12%;1%;24%
Juan Torres;40;Sistemas;25%;25%;14%;3%
Luis Martínez;41;Recursos Humanos;5%;6%;18%;4%
Juan Ramírez;39;Sistemas;22%;10%;10%;4%
Pedro López;52;Sistemas;16%;10%;20%;22%
Pedro Gómez;59;Marketing;11%;2%;9%;7%
Andrea Torres;25;Ventas;15%;12%;21%;16%
Camila Martínez;39;Sistemas;15%;8%;3%;24%
